id,Manual code,comments
1,1,김정일 조문 안 간다고 OOO하는 색히들. 북한 포탄에 맞아죽은 연평도 장병 조문은 갔냐? 김왕자씨 조문은 갔냐? 6.25때 죽은 수많은 사람들을 위해 단 한순간이라도 묵념해 본 적은 있냐? 지네 오야붕이 뒤지니까 아주 그냥 OOO들을 해요.
2,0,"김대중,노무현정권 특활비 총합 5조5천억.청와대,검찰,국회 등 배정.노무현·이명박 월2억,박대통령 월5천~1억.문삼d 검찰이 태블릿 jtbc조작 은폐 들통나고 박대통령 죄가없자 특활비로 엮으려,..한국당 장제원은 국회 기자회견서 노무현이 특활비 3억을 상가 구입에 쓴 정황이있고,김진태의원은 국감서 기사를 인용 노무현 때 특활비 100억이 북에 넘어 갔다는 발언있었음.홍준표는 특활비를 생활비로 썼고 법무부·검찰은 쌍방 격려금으로 신계ㄹ은 아들 유학비로 사용했으나 죄를 묻지 않았음.의혹투성이 흥진호 관련자 모두 국회출석 거부 중"
3,0,하나님께 감사하라 고장과 동시에 화재라고 났으면 대구지하철 사태보다 큰 사망자가 나왔으리라 본다. 터널 안이라 밖에 빠져 나오다가 다 질식해서 800명이 다 몰사 할수 있는 상황이었다. 정말 다행이다
4,0,[선플] [선플]나라에서 신상을 공개했으니 앞으로는 성범죄가 줄고 밤길을 편안히 다닐수있는 그런 나라가 되었으면 좋겠네요^^
5,1,뽑아줄탱께 만약 못하면 공개처형 콜?ㅅ ㅂ
6,0,드르르 이제는 머리까지 드르르르 ㅜㅜㅜ
7,2,"조문할려는 미친개들!!! 김정일과 그의 아부지 김일성이가 이 땅 한반도에서 전쟁과 테러를 일삼아 수 많은 동포에게 가슴에 상처를 주고 , 슬품을 준 당사자인데 대명천지 수도 서울에서 빈소를 차려놓고 조문을 할려는 인간들은 도대체 미치지 안고서야 어찌 감히 이런 할 수 있으랴. 더구나 천안함 폭침으로 수많은 병사들이 죽어 아직도 영혼을 달래기엔 많은 시간이 필요한데 어찌 감히 천인곡노할 조문이라니 얼토당토 않다. 대한민국에 이런류의 빨갱이 들이 득실 거린다는 사실은 북한에서 큰 이변이 생길때마다 드러나고 있느니 관련기관에서는 친북좌파나 종북좌파들을 하루 빨리 척결하는 데 노력해야"
8,2,"대통령이란 자리가 뭐냐? 모든 권력을 다 쥔자리다..그런데 경상도 미I치색들은 현정부가 못하고 쥐와 닭년이 못하는걸 죄 김대중 노무현 탓만 하니 이런 미i치넘들이 어디있냐... 오늘도 남탓, 내일도 남탓...그러다 야당이 정권 잡으면 그땐 정부탓 하겠지..하여튼 경상도 놈들 때문에 우리나라 정치가 썩는다"
9,2,"[악플] 삼성 마이 컸다. 옴레기 시리즈로 사기 치고 다닐때가 어제같은데... 그런데 만들때 잘좀 쳐만들어라. 갤레기탭 뽑기 잘못해가지고 지금 완전 OOO상태인데, 잘좀 쳐만들어 색히들아 빡치게 ㅡㅡ 메인보드 갈아야한다드라 OOO들아"
10,0,나가라 하하 홍철 마지막편좀보게 다른건 관심없어
